OrderID,OrderDate,City,Region,Category,Product,CustomerID,CustomerType,PaymentMode,Quantity,Sales,Cost,DiscountPercent,Profit,ProfitMargin_%
1,2022-01-01,Mumbai,West,Clothing,Sofa,1044,New,Card,3,14986,7964,21,7022,46.86
2,2022-01-02,Delhi,West,Electronics,Laptop,1401,New,UPI,8,33322,17610,21,15712,47.15
3,2022-01-03,Hyderabad,North,Groceries,Laptop,1205,Returning,Cash,6,49929,14048,27,35881,71.86
4,2022-01-04,Delhi,South,Electronics,Mobile,1061,Returning,UPI,2,17160,7621,5,9539,55.59
5,2022-01-05,Delhi,North,Groceries,Sofa,1419,New,Net Banking,2,10808,10340,29,468,4.33
6,2022-01-06,Bangalore,South,Furniture,Rice,1867,Returning,UPI,9,30612,4812,25,25800,84.28
7,2022-01-07,Hyderabad,South,Furniture,Rice,1467,Returning,Cash,7,22725,8500,4,14225,62.6
8,2022-01-08,Hyderabad,South,Furniture,Shirt,1819,Returning,Card,9,7998,9961,12,-1963,-24.54
9,2022-01-09,Hyderabad,North,Clothing,Table,1018,Returning,Card,6,40950,21427,28,19523,47.68
10,2022-01-10,Delhi,South,Clothing,Laptop,1364,Returning,Cash,5,24418,24898,4,-480,-1.97
11,2022-01-11,Mumbai,North,Groceries,Shirt,1299,New,Net Banking,1,19040,818,24,18222,95.7
12,2022-01-12,Hyderabad,West,Furniture,Mobile,1006,Returning,Cash,6,21557,15829,12,5728,26.57
13,2022-01-13,Delhi,West,Clothing,Rice,1760,Returning,Net Banking,6,22825,16291,23,6534,28.63
14,2022-01-14,Bangalore,South,Furniture,Laptop,1427,New,Card,3,9998,20359,19,-10361,-103.63
15,2022-01-15,Mumbai,North,Clothing,Mobile,1116,New,Net Banking,3,37080,14872,22,22208,59.89
16,2022-01-16,Bangalore,West,Electronics,Table,1579,New,Cash,3,47097,16435,7,30662,65.1
17,2022-01-17,Mumbai,North,Electronics,Mobile,1506,New,Cash,3,16802,27854,27,-11052,-65.78
18,2022-01-18,Delhi,North,Furniture,Laptop,1545,Returning,Cash,7,12167,16201,8,-4034,-33.16
19,2022-01-19,Chennai,South,Groceries,Table,1705,Returning,Net Banking,2,36092,11750,20,24342,67.44
20,2022-01-20,Mumbai,West,Clothing,Mobile,1324,Returning,Net Banking,2,43407,22037,18,21370,49.23
21,2022-01-21,Bangalore,South,Clothing,Table,1054,Returning,Net Banking,3,14338,21018,28,-6680,-46.59
22,2022-01-22,Delhi,South,Electronics,Laptop,1777,New,Card,7,11753,2102,19,9651,82.12
23,2022-01-23,Mumbai,West,Electronics,Laptop,1991,New,UPI,3,6984,19140,14,-12156,-174.05
24,2022-01-24,Chennai,West,Groceries,Table,1041,Returning,UPI,7,19895,25905,25,-6010,-30.21
25,2022-01-25,Chennai,North,Groceries,Sofa,1296,Returning,Cash,9,48910,9547,21,39363,80.48
26,2022-01-26,Hyderabad,West,Groceries,Shirt,1972,Returning,Card,4,44831,24203,9,20628,46.01
27,2022-01-27,Hyderabad,North,Furniture,Mobile,1230,Returning,Net Banking,7,1362,15734,10,-14372,-1055.21
28,2022-01-28,Bangalore,North,Electronics,Mobile,1452,New,Cash,9,4454,8032,4,-3578,-80.33
29,2022-01-29,Mumbai,North,Furniture,Sofa,1889,Returning,Card,8,22004,7866,8,14138,64.25
30,2022-01-30,Mumbai,West,Electronics,Sofa,1393,New,Cash,8,37023,3148,28,33875,91.5
31,2022-01-31,Hyderabad,South,Electronics,Sofa,1521,New,Card,9,18601,7403,10,11198,60.2
32,2022-02-01,Mumbai,North,Clothing,Rice,1357,New,Card,5,6349,18742,26,-12393,-195.2
33,2022-02-02,Mumbai,South,Electronics,Rice,1986,New,UPI,5,40963,17986,29,22977,56.09
34,2022-02-03,Chennai,South,Electronics,Table,1443,Returning,Cash,3,11047,14288,18,-3241,-29.34
35,2022-02-04,Hyderabad,West,Furniture,Rice,1127,Returning,Net Banking,5,8750,2981,1,5769,65.93
36,2022-02-05,Delhi,South,Electronics,Laptop,1690,Returning,UPI,8,30393,2320,5,28073,92.37
37,2022-02-06,Hyderabad,South,Furniture,Table,1404,Returning,UPI,5,23463,10771,28,12692,54.09
38,2022-02-07,Delhi,West,Groceries,Mobile,1391,New,Net Banking,4,10399,20042,22,-9643,-92.73
39,2022-02-08,Chennai,North,Electronics,Shirt,1192,New,Card,8,14686,27516,20,-12830,-87.36
40,2022-02-09,Bangalore,South,Electronics,Laptop,1603,New,Net Banking,7,41803,4184,0,37619,89.99
41,2022-02-10,Mumbai,West,Furniture,Mobile,1880,Returning,Cash,6,35275,24295,2,10980,31.13
42,2022-02-11,Chennai,South,Groceries,Mobile,1742,New,Net Banking,5,23787,26331,2,-2544,-10.69
43,2022-02-12,Mumbai,South,Clothing,Table,1077,New,Card,5,15776,28033,27,-12257,-77.69
44,2022-02-13,Bangalore,North,Groceries,Sofa,1084,New,Net Banking,2,30527,4151,13,26376,86.4
45,2022-02-14,Bangalore,South,Furniture,Sofa,1029,New,Card,4,40351,10931,19,29420,72.91
46,2022-02-15,Chennai,West,Groceries,Laptop,1724,Returning,Card,8,37695,10631,29,27064,71.8
47,2022-02-16,Bangalore,South,Furniture,Sofa,1048,New,Cash,8,16797,24591,25,-7794,-46.4
48,2022-02-17,Delhi,North,Furniture,Mobile,1776,New,Net Banking,1,37999,25345,21,12654,33.3
49,2022-02-18,Bangalore,North,Clothing,Sofa,1144,Returning,Net Banking,2,6302,24991,4,-18689,-296.56
50,2022-02-19,Mumbai,West,Electronics,Rice,1068,Returning,Cash,5,39059,23765,16,15294,39.16
51,2022-02-20,Mumbai,North,Furniture,Sofa,1057,Returning,Card,9,1908,23104,14,-21196,-1110.9
52,2022-02-21,Mumbai,South,Furniture,Mobile,1696,New,Net Banking,7,16123,5330,5,10793,66.94
53,2022-02-22,Mumbai,North,Clothing,Table,1573,New,Cash,5,13877,29140,13,-15263,-109.99
54,2022-02-23,Delhi,West,Furniture,Laptop,1478,New,Card,1,15239,21863,13,-6624,-43.47
55,2022-02-24,Hyderabad,North,Electronics,Shirt,1819,New,Cash,6,22435,7834,24,14601,65.08
56,2022-02-25,Chennai,North,Clothing,Sofa,1444,Returning,Net Banking,8,28313,15119,26,13194,46.6
57,2022-02-26,Mumbai,North,Electronics,Mobile,1295,New,Cash,7,36354,20659,16,15695,43.17
58,2022-02-27,Bangalore,West,Electronics,Shirt,1677,New,UPI,2,43103,9804,7,33299,77.25
59,2022-02-28,Mumbai,North,Clothing,Shirt,1170,Returning,Card,5,49408,15379,7,34029,68.87
60,2022-03-01,Bangalore,North,Furniture,Rice,1574,Returning,UPI,4,18715,17532,18,1183,6.32
61,2022-03-02,Bangalore,South,Electronics,Shirt,1146,Returning,UPI,9,24235,26255,28,-2020,-8.34
62,2022-03-03,Mumbai,West,Electronics,Table,1483,New,Card,1,27129,15085,8,12044,44.4
63,2022-03-04,Delhi,North,Electronics,Mobile,1305,New,Card,6,11534,27218,10,-15684,-135.98
